    ID |    NAME       |  RA   |  DEC  |  MAJOR_DIAMETER | TYPE | SPECTRAL_INDEX|  ALT_NAMES         |       CLASS     | DUMMY
    269|SNR G085.9-00.6|314.667| 44.883|          24.0|S   |          0.20|                          |        SNR SHELL|
    270|SNR G085.4+00.7|312.667| 45.367|          24.0|S   |          0.20|                          |        SNR SHELL|
    271|SNR G082.2+05.3|304.750| 45.500|          95.0|S   |          0.50|W63                       |        SNR SHELL|
    272|SNR G160.9+02.6| 75.250| 46.667|         140.0|S   |          0.64|HB9                       |        SNR SHELL|
    273|SNR G152.4-02.1| 61.958| 49.183|         100.0|S   |          0.70|                          |        SNR SHELL|
    274|SNR G159.6+07.3| 80.000| 50.000|         240.0|S   |              |                          |        SNR SHELL|
    275|SNR G089.0+04.7|311.250| 50.583|         120.0|S   |          0.38|HB21                      |        SNR SHELL|
    276|SNR G093.7-00.2|322.333| 50.833|          80.0|S   |          0.65|CTB 104A, DA 551          |        SNR SHELL|
    277|SNR G156.2+05.7| 74.667| 51.833|         110.0|S   |          0.50|                          |        SNR SHELL|
    278|SNR G094.0+01.0|321.208| 51.883|          30.0|S   |          0.45|3C434.1                   |        SNR SHELL|
    279|SNR G096.0+02.0|322.625| 53.983|          26.0|S   |          0.60|                          |        SNR SHELL|
    280|SNR G093.3+06.9|313.104| 55.350|          27.0|C?  |          0.45|DA 530, 4C(T)55.38.1      |    SNR COMPOSITE|
    281|SNR G111.7-02.1|350.858| 58.800|           5.0|S   |          0.77|CASSIOPEIA A, 3C461       |        SNR SHELL|
    282|SNR G108.2-00.6|343.417| 58.833|          70.0|S   |          0.50|                          |        SNR SHELL|
    283|SNR G109.1-01.0|345.396| 58.883|          28.0|S   |          0.45|CTB 109                   |        SNR SHELL|
    284|SNR G106.3+02.7|336.875| 60.833|          60.0|C?  |          0.60|                          |    SNR COMPOSITE|
    285|SNR G113.0+00.2|354.146| 61.367|          40.0|?   |          0.50|                          |              SNR|
    286|SNR G114.3+00.3|354.250| 61.917|          90.0|S   |          0.50|                          |        SNR SHELL|
    287|SNR G116.9+00.2|359.792| 62.433|          34.0|S   |          0.57|CTB 1                     |        SNR SHELL|
    288|SNR G132.7+01.3| 34.417| 62.750|          80.0|S   |          0.60|HB3                       |        SNR SHELL|
    289|SNR G127.1+00.5| 22.083| 63.167|          45.0|S   |          0.45|R5                        |        SNR SHELL|
    290|SNR G116.5+01.1|358.417| 63.250|          80.0|S   |          0.50|                          |        SNR SHELL|
    291|SNR G120.1+01.4|  6.325| 64.150|           8.0|S   |          0.58|TYCHO, 3C10, SN1572       |        SNR SHELL|
    292|SNR G126.2+01.6| 20.500| 64.250|          70.0|S?  |          0.50|                          |        SNR SHELL|
    293|SNR G130.7+03.1| 31.421| 64.817|           9.0|F   |          0.07|3C58, SN1181              |SNR FILLED-CENTER|
    294|SNR G119.5+10.2|  1.667| 72.750|          90.0|S   |          0.60|CTA 1                     |        SNR SHELL|
